Id,have_youMentalHealthBenefits,Country,Mental_Consequences,isCompany_Technical,discuss_Family,isConsequenceSerious,Age,isSelfEmployed,have_you_PhysicalHealthConversations,isAnonymous,have_you_MentalHealthConversations,have_you_seeked_MentalHealthHelp,feel_Recovering,isPart_of_MentalHealthProgram,know_you_MentalCareOptions,isMental_asGoodas_Physical,isMentalIllness_family,discuss_Peers,iswork_disturbed,Physical_Consequences,istreatment_required,Additional_Data,isWork_Remote,Approx_Acquaintances,Gender
1250,Yes,1,No,1,Yes,0,30,1,Maybe,Don't know,Maybe,Yes,Don't know,Yes,Not sure,Yes,1,Some of them,Often,No,1,,0,26-100,Male
927,Yes,1,No,1,Some of them,0,29,0,Maybe,Don't know,Maybe,Yes,Somewhat easy,Yes,Yes,Yes,0,Some of them,,No,0,,0,26-100,Male
124,Yes,2,Maybe,0,Yes,1,27,0,Maybe,Don't know,No,No,Very difficult,No,Not sure,No,0,Some of them,Never,No,1,,0,100-500,Male
709,Yes,1,No,1,Yes,0,29,0,Maybe,Yes,Maybe,No,Very easy,No,Yes,Yes,0,Yes,Often,No,1,,0,26-100,Male
492,No,32,Yes,1,No,1,27,0,Maybe,Don't know,No,No,Somewhat difficult,No,No,No,0,Some of them,,No,0,,0,26-100,Male
1159,Don't know,35,Yes,1,No,0,51,0,No,Don't know,No,Don't know,Don't know,No,No,No,0,No,Never,No,0,,1,More than 1000,M
211,No,3,Yes,0,Yes,0,37,0,Maybe,Don't know,No,No,Don't know,No,No,Don't know,1,Some of them,Sometimes,Maybe,0,,0,26-100,Male
907,Yes,1,Yes,1,No,0,25,0,No,Don't know,No,No,Don't know,Yes,Yes,No,1,No,Sometimes,Yes,1,While I have not seen any direct retaliation against people with known mental illness many people do freely use insults commonly associated with mental illness (r****d for example) and criticize people behind their back for taking extra leave for doctor appointments (Oh I bet they are just hung over or other comments about how lazy they are.),0,More than 1000,female
1052,Don't know,8,No,1,Some of them,0,35,0,Maybe,Yes,No,No,Very easy,No,Not sure,No,1,Some of them,Often,No,1,,0,More than 1000,Male
453,Don't know,1,Yes,1,No,0,34,0,No,Don't know,No,No,Don't know,No,Not sure,Don't know,0,Some of them,Sometimes,Yes,1,Now at starutp.  Previously worked at big tech company which was actually quite good at supporting mental health issues.  Still wouldn't share with bosses/other employees though as there remains a strong negative stigma.,0,6-25,M
811,No,3,No,1,Some of them,0,29,0,Maybe,Don't know,No,No,Somewhat difficult,No,No,No,0,Some of them,Sometimes,No,1,,0,100-500,m
161,Yes,1,Yes,1,Some of them,0,25,0,No,Don't know,No,No,Don't know,No,No,Don't know,1,Some of them,Sometimes,Yes,1,,0,500-1000,F
813,No,1,Maybe,1,Some of them,0,28,0,No,Don't know,No,No,Don't know,No,Yes,Don't know,0,Some of them,Never,Maybe,1,,1,6-25,Male
1105,No,1,Maybe,1,Some of them,0,25,0,Maybe,Don't know,No,Don't know,Somewhat easy,No,Yes,Don't know,0,No,Rarely,No,1,,1,6-25,Male
45,Yes,1,No,1,Yes,0,38,0,No,Yes,No,Yes,Somewhat easy,No,Yes,Yes,1,Some of them,Sometimes,No,1,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,0,26-100,Female
901,No,3,Yes,1,No,1,43,0,No,Don't know,No,No,Very difficult,No,No,No,1,Some of them,Rarely,Yes,1,,0,26-100,Male
625,Yes,1,Maybe,1,Some of them,0,28,0,No,Don't know,No,Yes,Somewhat difficult,Yes,Yes,No,1,No,Rarely,No,1,,0,500-1000,Female
818,No,11,No,1,Some of them,0,26,1,Maybe,Yes,Maybe,Yes,Very easy,Yes,Not sure,Yes,0,Some of them,Sometimes,No,1,,1,6-25,queer
634,Don't know,11,No,0,Yes,0,35,0,No,Don't know,No,Don't know,Very easy,Yes,No,Yes,0,Some of them,Rarely,No,1,,0,100-500,m
481,Yes,1,Yes,1,No,0,43,0,Yes,Yes,No,Yes,Somewhat easy,Yes,Yes,Don't know,0,No,Sometimes,Maybe,1,,0,More than 1000,M
308,Don't know,1,No,1,Yes,0,25,0,No,Don't know,No,Don't know,Don't know,No,Not sure,Don't know,0,Some of them,,No,0,,1,26-100,Male
269,No,1,No,1,Yes,0,32,0,No,Don't know,No,No,Very easy,No,No,Don't know,0,Yes,Never,No,0,,1,6-25,Male
733,Yes,1,No,0,Yes,0,31,0,No,Yes,No,Yes,Don't know,Yes,Yes,Don't know,0,Yes,,No,0,,0,26-100,Male
1018,Yes,1,Maybe,1,No,0,30,0,Maybe,Don't know,No,No,Don't know,No,No,Don't know,1,Some of them,Sometimes,No,1,,1,26-100,Male
1193,Don't know,21,No,1,Yes,0,38,0,Maybe,Yes,Yes,Don't know,Don't know,Don't know,Not sure,No,0,Some of them,Never,No,0,,0,26-100,male
877,Don't know,1,Maybe,0,Some of them,0,29,0,Maybe,Don't know,No,Don't know,Don't know,No,Not sure,Don't know,0,No,,No,0,,0,More than 1000,M
1,Don't know,1,Maybe,0,No,0,44,,No,Don't know,No,Don't know,Don't know,Don't know,No,Don't know,0,No,Rarely,No,0,,0,More than 1000,M
798,No,8,Maybe,1,Yes,0,27,0,Yes,Don't know,No,No,Don't know,No,No,No,1,Some of them,,No,0,Thank you for your work what you do is important!,0,26-100,Male
814,Don't know,3,Maybe,1,No,0,36,1,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,Don't know,0,Some of them,Sometimes,No,0,,1,1-5,F
141,No,3,Yes,0,No,0,37,1,Maybe,Yes,No,Yes,Very difficult,Yes,Yes,Yes,0,Some of them,Sometimes,Yes,1,I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.,0,More than 1000,Male
757,Yes,1,Yes,1,No,0,26,0,Maybe,Don't know,No,Don't know,Somewhat difficult,Yes,No,No,1,No,Sometimes,Maybe,1,,0,More than 1000,M
955,Don't know,11,No,1,Yes,0,33,0,Yes,Yes,Yes,No,Somewhat easy,Yes,Not sure,Yes,1,Some of them,Often,No,1,,0,26-100,male
240,Don't know,22,No,1,Yes,0,22,0,Maybe,Don't know,Maybe,No,Don't know,No,No,No,0,Some of them,,No,0,,0,6-25,Male
1148,Yes,1,Yes,0,Some of them,0,35,0,Yes,Don't know,No,Yes,Somewhat easy,No,Yes,Don't know,1,No,Often,No,1,,0,More than 1000,M
55,Yes,1,Maybe,1,No,0,27,0,No,Yes,No,No,Don't know,No,Yes,Don't know,1,No,Rarely,No,1,,0,26-100,Male-ish
642,Yes,10,Yes,0,Some of them,1,29,0,No,No,No,Yes,Somewhat difficult,Yes,Yes,No,1,Some of them,Sometimes,No,1,,0,More than 1000,Female
333,No,18,No,1,No,0,45,1,No,Don't know,No,No,Very difficult,No,No,Don't know,0,No,Often,No,1,,0,1-5,Male
725,No,20,No,1,Some of them,0,31,0,Maybe,No,No,No,Don't know,No,No,No,0,Some of them,Never,No,0,Fully remote developer,1,100-500,Male
1117,Don't know,1,Yes,1,Some of them,0,46,0,Maybe,Don't know,No,Don't know,Don't know,No,Yes,Don't know,1,No,Sometimes,Maybe,1,,0,6-25,Male
39,Yes,1,No,1,Yes,0,35,0,Maybe,Yes,Maybe,Yes,Very easy,No,Yes,Yes,0,Yes,Rarely,No,1,,1,More than 1000,M
152,No,9,No,1,Yes,0,28,0,Yes,Don't know,Maybe,No,Don't know,No,No,Yes,0,Yes,Rarely,No,0,,1,6-25,male
302,Yes,1,No,1,Yes,0,26,0,Maybe,Don't know,No,Don't know,Don't know,No,Not sure,Don't know,0,Some of them,Rarely,No,0,,0,100-500,Male
792,Don't know,1,Yes,1,Some of them,1,37,0,Yes,Yes,No,No,Somewhat difficult,No,Not sure,No,0,Some of them,Often,No,1,,1,6-25,female
1080,No,1,Maybe,1,Yes,0,25,0,Maybe,Yes,No,No,Very easy,No,Yes,No,1,Yes,Often,No,1,,0,1-5,Male
443,Yes,1,No,1,Yes,0,33,0,No,Don't know,No,No,Don't know,Don't know,No,Yes,0,Some of them,,No,0,,1,100-500,female
402,Don't know,1,No,1,Yes,0,23,0,Maybe,Don't know,No,Don't know,Don't know,No,No,No,0,Some of them,,No,0,,0,More than 1000,male
902,Yes,1,Maybe,1,Some of them,1,25,1,No,Yes,No,Yes,Very easy,Yes,Yes,Yes,0,Some of them,Often,Maybe,1,,0,1-5,f
966,No,3,Maybe,1,Yes,0,26,1,Maybe,Don't know,No,No,Very easy,No,No,Yes,1,Some of them,Sometimes,No,1,I am a Trans woman and suffer from depression relating to that. I'm a contractor so I've answered the questions as relating to my current contract.,1,1-5,Female
578,Yes,2,Yes,1,No,0,29,1,Yes,Yes,No,No,Very difficult,No,Yes,No,0,Some of them,Never,No,0,,1,26-100,male
1044,Yes,3,Maybe,0,No,1,29,0,Yes,Don't know,No,No,Don't know,No,Yes,No,0,Some of them,Often,No,1,,0,More than 1000,f
1090,No,1,No,1,Some of them,0,11,1,Maybe,Yes,No,No,Very easy,No,Yes,Yes,0,Some of them,Never,No,0,,1,1-5,male
156,Don't know,1,No,1,Some of them,0,27,0,Maybe,Don't know,No,Don't know,Don't know,No,No,Don't know,1,No,Sometimes,No,1,,0,More than 1000,Male
184,Yes,1,Yes,1,No,0,43,0,No,Don't know,No,Don't know,Very difficult,No,Not sure,No,1,No,Often,Maybe,1,,1,More than 1000,Male
858,No,1,Maybe,1,Yes,0,33,0,No,Don't know,No,No,Don't know,No,No,No,0,Some of them,,No,0,The company I work for was started by engineers and so anything other then the engineering department has always lacked a bit. Now that we've grown things are better but I feel that overall our total benefits package (including healthcare) isn't well communicated. This reflects negatively on the mental health questions above but would also reflect negatively on any other sort of survey about the benefits. That is I don't think the company is purposefully doing less for mental health. They just aren't doing enough across the board and that includes mental health.,0,100-500,Male
14,Don't know,2,No,1,Some of them,0,27,,Yes,Don't know,Maybe,Don't know,Somewhat easy,Don't know,Not sure,Yes,0,Some of them,Never,No,0,,0,6-25,Male
142,Don't know,1,Yes,0,No,0,35,0,Maybe,Don't know,No,Don't know,Don't know,Don't know,Not sure,Don't know,0,Some of them,Never,No,0,,1,26-100,M
711,Don't know,5,No,1,Yes,0,27,0,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,Yes,0,Yes,,No,0,,0,6-25,male
651,Don't know,3,Maybe,1,No,0,29,0,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,No,1,No,Never,Maybe,1,,0,100-500,Male
416,Don't know,11,No,1,Yes,0,30,0,Maybe,Don't know,Maybe,No,Somewhat difficult,No,Not sure,No,1,Yes,Sometimes,No,1,In Germany your employer doesn't really provide mental health benefits. There's a standard and I get that but I would get the same at any other company in Germany.,0,100-500,fluid
418,No,30,No,1,Yes,0,34,0,Maybe,Don't know,No,No,Somewhat easy,No,No,Don't know,0,Yes,Never,No,0,,0,6-25,Male
998,No,3,Yes,1,No,0,32,0,No,Don't know,No,No,Don't know,No,No,Don't know,0,No,Rarely,No,0,,0,500-1000,Male
254,Don't know,1,No,1,Yes,0,24,0,Maybe,Don't know,Maybe,Don't know,Don't know,Don't know,No,Don't know,0,Yes,Sometimes,No,0,,0,6-25,Male
320,Yes,1,No,1,Yes,0,41,0,Maybe,Yes,Maybe,Yes,Somewhat easy,Don't know,Yes,Yes,1,Some of them,Rarely,No,1,,1,100-500,Male
299,Yes,1,No,1,Yes,0,37,0,Maybe,Don't know,Maybe,Yes,Don't know,Yes,Yes,Don't know,0,Some of them,Never,No,0,,0,More than 1000,M
981,No,2,Yes,1,Some of them,1,37,1,Maybe,Yes,Maybe,No,Somewhat easy,No,Yes,Don't know,1,Some of them,Rarely,Maybe,1,,1,1-5,Female
689,Don't know,3,No,1,Yes,0,27,0,Maybe,Yes,Maybe,Don't know,Very easy,Yes,Not sure,Yes,0,Yes,Sometimes,No,1,,1,6-25,f
471,Yes,1,Maybe,1,Yes,0,58,0,Yes,Yes,No,Yes,Somewhat easy,Yes,Yes,Yes,0,Some of them,Rarely,No,1,,0,More than 1000,Male
420,Yes,11,No,1,Yes,0,28,0,No,Yes,No,No,Very easy,No,No,Yes,1,Yes,Rarely,No,1,fwiw I am a co founder of this company and the would you X in an interview questions shouldn't reflect how I would treat anyone addressing their own phys/mental health issue to me in such a situation. ,1,1-5,male
539,Yes,1,No,1,Some of them,1,22,0,No,Don't know,No,Don't know,Don't know,No,Yes,No,1,Some of them,Sometimes,No,1,,0,500-1000,Female
995,Don't know,3,No,1,Yes,0,35,1,No,Don't know,No,Don't know,Somewhat easy,No,Not sure,Don't know,0,Some of them,Sometimes,No,0,,0,1-5,Male
436,Don't know,1,No,1,Yes,1,26,0,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,Don't know,0,Some of them,,No,0,,0,More than 1000,Male
1209,Don't know,35,Maybe,1,No,0,29,0,Maybe,Don't know,No,No,Somewhat difficult,No,Not sure,No,1,No,Sometimes,No,1,it is my opinion that bad mental health is a red flag for employers and i would never bring it up.,0,26-100,male
771,No,1,Maybe,1,Yes,0,33,1,No,Yes,No,No,Very easy,No,Yes,Yes,1,Yes,Sometimes,Maybe,1,My current work situation was constructed in part because of my mental health issues. One of the reasons I'm self employed is to give me the most flexibility for coping with my mental health issues.I have been removed from a client project in the past because of a mental health condition. This was while I was an employee for a large consulting company. ,1,1-5,Male
963,Don't know,3,Maybe,1,Some of them,0,24,1,Maybe,Don't know,No,No,Don't know,No,Not sure,Don't know,1,Some of them,Often,No,0,,1,1-5,M
893,Yes,1,Yes,1,No,0,30,0,Maybe,Don't know,Maybe,Yes,Very difficult,Don't know,No,No,1,Some of them,Never,Yes,0,,0,100-500,Male
1055,Yes,1,No,1,Yes,0,39,0,No,Yes,No,Don't know,Very easy,No,Yes,Yes,1,Some of them,Sometimes,No,1,,0,500-1000,Male
1109,No,19,Maybe,1,Some of them,0,30,0,Maybe,No,Maybe,No,Very easy,No,No,Don't know,0,Some of them,Often,Maybe,0,,0,6-25,Male
192,No,12,Yes,1,No,0,28,0,Maybe,Don't know,No,No,Don't know,No,No,Don't know,0,No,Sometimes,Maybe,0,,0,26-100,Male
616,Yes,1,No,1,Some of them,0,35,0,Maybe,Don't know,Maybe,Don't know,Don't know,Yes,No,Yes,0,Some of them,Never,No,0,,0,26-100,Male
349,Yes,1,Maybe,1,Some of them,0,25,0,No,Don't know,No,Don't know,Don't know,Don't know,Yes,Yes,1,Some of them,Sometimes,No,1,,0,More than 1000,non-binary
231,Yes,1,Maybe,1,No,0,41,0,Maybe,Don't know,Maybe,Don't know,Don't know,No,Yes,No,0,Some of them,Rarely,Maybe,1,I found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others. For some people telling your current supervisor that you have a history of bi-polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling. They might both be bits of irrelevant information (past behavior and not indicators of future behavior). However western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work. Providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion.,1,500-1000,Male
487,No,1,No,1,Yes,0,30,1,No,Yes,No,No,Very easy,No,Yes,Yes,1,Yes,Often,No,1,,1,1-5,Male
1124,Don't know,1,No,1,No,0,35,0,No,Yes,No,Don't know,Don't know,Don't know,Not sure,Yes,0,No,,No,0,Mental health at work is not an issue if you leave work problems at work that may be easier for those of us not in a support role.,0,6-25,Male
769,Don't know,3,No,1,Yes,0,28,0,Yes,Don't know,Maybe,No,Somewhat easy,No,Not sure,Don't know,0,Some of them,Never,No,0,,0,26-100,Male
202,No,1,Maybe,1,Some of them,0,41,0,Maybe,Don't know,Maybe,No,Very difficult,No,Not sure,Don't know,0,Some of them,Often,Maybe,1,,1,6-25,male
535,No,10,Yes,1,Some of them,0,27,0,No,No,No,No,Somewhat difficult,No,Yes,No,1,Some of them,Sometimes,No,1,,0,6-25,Female
674,Don't know,2,Maybe,1,Some of them,0,35,0,No,Don't know,No,No,Don't know,No,No,No,1,Some of them,Sometimes,Maybe,0,,0,26-100,Male
613,Don't know,35,Maybe,1,No,1,30,0,Yes,Don't know,No,No,Somewhat easy,No,Not sure,No,0,Some of them,Sometimes,No,0,,0,26-100,Male
759,No,1,Yes,0,Some of them,1,21,0,Yes,No,No,No,Don't know,No,Yes,No,0,Some of them,Often,No,1,I have Narcolepsy and have been fired from a job before for falling asleep standing up during a meeting. I was standing up in the back of the room so that i could pace and try to prevent myself from falling asleep. I still managed to fall asleep while standing and fell over against the wall. I was fired the next day. The worst part is this is a condition i had given months of notice about to my boss and i reminded her of it before the meeting. I worked at a hospital at the time. I would have thought that they would be more accommodating.,0,More than 1000,Male
406,Yes,1,Yes,1,Some of them,0,33,0,No,Don't know,No,Yes,Don't know,Yes,Yes,Yes,1,Yes,Never,Maybe,1,,1,26-100,Male
75,No,3,Yes,1,No,0,19,0,Maybe,No,No,No,Somewhat difficult,No,Yes,No,0,No,,No,0,,0,1-5,Male
574,No,1,No,1,No,0,50,0,Maybe,Don't know,No,No,Don't know,No,Yes,No,0,No,Never,No,0,,1,26-100,Male
482,Don't know,3,Maybe,1,Some of them,0,18,0,Maybe,Don't know,Maybe,Don't know,Don't know,Don't know,Not sure,Don't know,1,Some of them,Sometimes,Maybe,1,I don't have a job :D,1,1-5,Female
977,Yes,5,Maybe,0,Some of them,1,27,0,Maybe,Yes,No,No,Somewhat easy,Don't know,Yes,Don't know,1,No,,Maybe,0,,0,500-1000,Male
687,Yes,1,Maybe,1,Yes,0,49,0,No,Yes,No,Yes,Somewhat easy,Yes,Not sure,Yes,1,Some of them,Sometimes,Maybe,1,,0,100-500,Male
483,Yes,1,Maybe,1,No,0,29,0,Maybe,Don't know,No,No,Don't know,No,Yes,Don't know,0,Some of them,Rarely,No,1,,0,6-25,male
108,Yes,1,Maybe,1,No,0,34,0,No,Don't know,No,No,Don't know,No,No,Don't know,1,No,Never,No,0,,1,6-25,m
1255,Yes,1,No,1,Yes,0,32,0,No,Yes,No,No,Somewhat difficult,No,Yes,Yes,1,Some of them,Often,No,1,,1,26-100,Male
808,Don't know,1,No,1,Yes,0,27,0,Maybe,Don't know,Maybe,Don't know,Very easy,No,Not sure,Yes,0,Yes,,No,0,,1,26-100,Male
303,Yes,1,Yes,0,Yes,0,28,0,No,Yes,No,Yes,Somewhat easy,Yes,Yes,Yes,1,Some of them,Often,No,1,,1,100-500,female
853,No,2,Yes,1,Some of them,0,26,0,Maybe,Don't know,No,No,Very difficult,No,No,Don't know,0,Some of them,Sometimes,Maybe,0,,1,6-25,Male
92,Don't know,1,Maybe,1,No,0,34,0,Maybe,Don't know,No,No,Somewhat easy,No,No,Don't know,0,Some of them,,No,0,,0,26-100,Male
528,Yes,1,No,1,Some of them,0,29,0,No,Yes,No,Yes,Very easy,No,Yes,Yes,0,No,Sometimes,No,1,,0,6-25,M
970,No,1,Yes,1,No,1,43,0,Maybe,Don't know,No,No,Very difficult,No,Not sure,No,0,No,Sometimes,Maybe,0,,1,More than 1000,Male
194,No,11,Yes,1,No,1,32,0,No,Don't know,No,No,Very difficult,No,No,No,0,Some of them,Sometimes,Yes,0,Too many people even especially IT considered mental health issues as a choice or something people can freely act about. You are depressed: take vacation. You feel weird: admit it is physical (otherwise it is not serious) go and see a doctor (and if you are on sick leave too many days you will get fired). You don't feel good today: take a holiday but don't work from home. In startup there is what I call the tyranny of happiness: you have to look happy to be accepted and to be worked with. At some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity :(I don't like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication. It is a vicious circle: people are scared of speaking about it so they don't inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves. ,0,100-500,female
1057,Don't know,1,Maybe,1,Yes,0,33,1,Maybe,No,No,No,Very easy,No,No,Yes,0,Some of them,Never,No,0,,1,6-25,male
427,Yes,1,Maybe,0,No,0,26,0,No,Don't know,No,Don't know,Don't know,Yes,Not sure,Don't know,0,Some of them,,No,0,,0,More than 1000,Female
342,Don't know,1,Yes,1,No,0,27,0,Maybe,Don't know,No,Don't know,Very easy,Don't know,Not sure,No,0,No,Sometimes,No,0,Regardless of a stated lack of negative consequences for discussing mental health issues with coworkers/superiors unconscious bias is a very real thing - as long as I don't *need* to inform my co-workers my mental health issues do not need to be public knowledge.,0,More than 1000,Male
990,No,3,No,1,Yes,0,38,0,No,Yes,No,No,Somewhat easy,No,No,Don't know,0,Some of them,,No,0,,1,1-5,Male
8,Yes,1,Maybe,1,Yes,0,42,,Maybe,No,No,No,Very difficult,No,Yes,No,1,Yes,Sometimes,No,1,,0,100-500,Female
641,No,11,Maybe,1,Some of them,0,35,0,No,Don't know,No,No,Very easy,No,No,Don't know,0,Some of them,,No,0,,0,26-100,male
1199,Don't know,18,Maybe,1,Yes,0,25,0,No,Don't know,No,Don't know,Don't know,No,Not sure,Don't know,0,Some of them,,No,0,,0,100-500,male
1079,No,7,Maybe,1,Yes,0,32,1,Maybe,Yes,No,No,Very difficult,No,No,No,0,Some of them,Sometimes,No,1,,0,1-5,male
328,No,1,Maybe,1,Some of them,0,30,1,Maybe,Don't know,No,No,Don't know,No,Yes,Don't know,0,Some of them,Never,No,0,,1,1-5,Male
898,No,1,No,1,Yes,0,50,1,Maybe,Yes,No,No,Somewhat easy,No,Yes,Yes,0,Some of them,Never,No,0,A lot of these answers aren't really applicable since I'm self employed as a sole proprietor.,1,1-5,Male
1061,Don't know,1,Maybe,1,No,0,27,0,Maybe,Yes,No,No,Very difficult,No,Not sure,No,0,Some of them,Sometimes,No,1,,0,100-500,Male
523,Don't know,33,Maybe,1,No,1,25,0,No,Don't know,No,Don't know,Don't know,Don't know,Not sure,Don't know,1,No,Rarely,Yes,0,,1,26-100,Male
1253,Don't know,1,Maybe,0,Some of them,0,36,0,No,Don't know,No,Yes,Somewhat easy,Yes,No,Don't know,1,Some of them,Rarely,Maybe,0,,0,More than 1000,Male
381,Yes,1,No,1,Yes,0,27,0,Maybe,Yes,No,Yes,Don't know,Yes,No,Yes,0,Some of them,Rarely,No,1,,0,More than 1000,Male
920,Don't know,1,No,1,Yes,0,28,0,Yes,Don't know,No,Don't know,Somewhat easy,No,Not sure,Don't know,1,Some of them,Sometimes,No,0,,0,6-25,Male
773,Don't know,3,No,0,Some of them,0,28,0,Yes,Don't know,Yes,Don't know,Don't know,No,Not sure,No,0,Some of them,,No,0,,0,More than 1000,Male
597,Don't know,1,Yes,1,No,0,31,0,Maybe,Don't know,No,Don't know,Don't know,No,No,Don't know,0,No,,No,0,,1,26-100,M
926,Yes,1,Maybe,0,Some of them,0,43,0,Maybe,Don't know,No,Don't know,Don't know,No,Not sure,No,1,No,Sometimes,No,0,My employer gives access to basic counseling and referrals but I don't know (and it's not obvious) what might be covered in the way of expenses for therapy medication etc.,0,500-1000,M
445,Yes,1,Yes,1,Some of them,1,39,0,Maybe,Don't know,No,Don't know,Don't know,No,No,No,1,Some of them,Often,No,0,,0,More than 1000,Male
198,Yes,1,Maybe,1,Some of them,0,27,0,Maybe,Don't know,No,No,Somewhat easy,No,Yes,Yes,1,Some of them,,Maybe,0,,1,6-25,Male
464,Don't know,1,Yes,1,Yes,0,27,0,Maybe,Don't know,No,Don't know,Somewhat easy,Yes,No,Yes,1,Some of them,Sometimes,No,1,,1,6-25,M
1215,No,7,Maybe,1,Some of them,0,28,0,No,Don't know,No,No,Somewhat easy,No,Not sure,Don't know,0,Some of them,,Maybe,0,,0,6-25,male
283,Yes,1,Yes,1,Some of them,0,35,0,Maybe,Yes,No,No,Somewhat difficult,No,Yes,Don't know,1,No,Sometimes,No,1,,0,26-100,male
1068,Yes,1,Maybe,0,Yes,0,48,0,Maybe,Yes,No,Yes,Don't know,Yes,Yes,Don't know,0,Some of them,Never,No,0,,0,26-100,Male
501,No,18,Yes,1,No,1,40,1,Maybe,No,No,No,Don't know,No,No,No,1,Some of them,,Maybe,0,,0,More than 1000,Male
